,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-34.35302734375,-28.65185546875
1,kiwis and narwhals,-30.8912353515625,-31.18603515625
2,kiwis and ocelots,-33.533966064453125,-29.2666015625
3,ibex and kiwis,-29.380859375,-33.205078125
4,harpies and kiwis,-32.685546875,-36.248046875
5,axolotls and wolverines,-35.875091552734375,-29.990707397460938
6,axolotls and ibex,-33.028167724609375,-29.781585693359375
7,axolotls and harpies,-35.545013427734375,-33.054779052734375
8,axolotls and keas,-37.847747802734375,-31.437255859375
9,axolotls and bonobos,-33.66122245788574,-29.21111297607422
10,axolotls and wombats,-32.068328857421875,-31.485275268554688
11,axolotls and lions,-31.179779052734375,-28.30914306640625
12,ocelots and platypuses,-29.181396484375,-31.1392822265625
13,ibex and platypuses,-31.6693115234375,-32.00830078125
14,harpies and platypuses,-32.0068359375,-32.02978515625
15,keas and platypuses,-31.62109375,-35.46142578125
16,bonobos and platypuses,-29.4150390625,-29.344207763671875
17,harpies and wolverines,-32.8115234375,-29.794921875
18,keas and wolverines,-34.014892578125,-32.78125
19,bonobos and wolverines,-29.322509765625,-29.30859375
20,capybaras and ibex,-39.3671875,-36.75390625
21,capybaras and harpies,-41.8173828125,-33.08624267578125
22,capybaras and keas,-43.337890625,-34.44921875
23,ibex and narwhals,-25.688751220703125,-30.36572265625
24,harpies and narwhals,-29.43426513671875,-29.73095703125
25,keas and narwhals,-30.538330078125,-34.75830078125
26,ibex and ocelots,-27.2041015625,-29.158203125
27,keas and ocelots,-32.4141845703125,-33.216796875
28,bonobos and ocelots,-30.98486328125,-28.04638671875
29,harpies and ibex,-31.505859375,-32.7734375
30,ibex and keas,-32.48828125,-31.93359375
31,bonobos and ibex,-29.544921875,-29.270503997802734
32,ibex and koalas,-26.806396007537842,-31.534141540527344
33,ibex and sloths,-25.73486328125,-29.341796875
34,aardvarks and ibex,-33.1873779296875,-32.8955078125
35,harpies and keas,-36.072265625,-32.876953125
36,bonobos and harpies,-31.650390625,-33.09570264816284
37,harpies and koalas,-31.290769577026367,-34.032188415527344
38,harpies and wombats,-31.9052734375,-33.025390625
39,aardvarks and harpies,-34.9051513671875,-32.02540588378906
40,bonobos and keas,-33.3466796875,-32.153316497802734
