,binom,Alpha Probs,Nonalpha Probs
0,kiwis and wolverines,-27.955322265625,-32.75634765625
1,kiwis and narwhals,-29.677505493164062,-32.83056640625
2,kiwis and ocelots,-32.249755859375,-31.44287109375
3,ibex and kiwis,-31.7216796875,-33.0703125
4,harpies and kiwis,-30.3349609375,-29.5419921875
5,axolotls and wolverines,-35.19677734375,-33.6429443359375
6,axolotls and ibex,-35.256591796875,-34.034637451171875
7,axolotls and harpies,-36.485107421875,-31.4591064453125
8,axolotls and keas,-35.436279296875,-37.020538330078125
9,axolotls and bonobos,-32.98846435546875,-30.4205322265625
10,axolotls and wombats,-34.297119140625,-30.5732421875
11,axolotls and lions,-32.252685546875,-30.9986572265625
12,ocelots and platypuses,-28.995361328125,-31.8065185546875
13,ibex and platypuses,-33.3935546875,-35.302734375
14,harpies and platypuses,-27.9124755859375,-34.525390625
15,keas and platypuses,-34.6201171875,-35.666015625
16,bonobos and platypuses,-25.283721923828125,-29.581016540527344
17,harpies and wolverines,-29.020751953125,-33.509765625
18,keas and wolverines,-38.2470703125,-35.71875
19,bonobos and wolverines,-28.734375,-30.95703125
20,capybaras and ibex,-39.6015625,-34.923828125
21,capybaras and harpies,-37.681640625,-32.315185546875
22,capybaras and keas,-40.390625,-37.833251953125
23,ibex and narwhals,-35.59037780761719,-33.296875
24,harpies and narwhals,-28.883056640625,-34.427734375
25,keas and narwhals,-36.19091796875,-35.1484375
26,ibex and ocelots,-31.59375,-32.150390625
27,keas and ocelots,-40.03515625,-35.009765625
28,bonobos and ocelots,-29.9443359375,-31.932615280151367
29,harpies and ibex,-33.12109375,-31.951171875
30,ibex and keas,-33.525390625,-35.287109375
31,bonobos and ibex,-29.712158203125,-31.050292491912842
32,ibex and koalas,-32.46376037597656,-32.470703125
33,ibex and sloths,-29.6767578125,-30.607421875
34,aardvarks and ibex,-34.006591796875,-36.843505859375
35,harpies and keas,-33.44921875,-35.298828125
36,bonobos and harpies,-32.081298828125,-28.761228561401367
37,harpies and koalas,-31.7889404296875,-32.37890625
38,harpies and wombats,-29.30224609375,-31.220703125
39,aardvarks and harpies,-30.447998046875,-31.76171875
40,bonobos and keas,-30.366455078125,-34.25779724121094
41,keas and koalas,-34.825927734375,-32.216796875
42,keas and sloths,-35.177734375,-33.189453125
43,keas and wombats,-34.865234375,-32.720703125
44,keas and lions,-33.712890625,-30.669921875
45,aardvarks and keas,-35.385498046875,-38.072265625
46,bonobos and wombats,-27.30145263671875,-27.041442394256592
47,aardvarks and bonobos,-31.529983520507812,-29.1751708984375
48,ocarinas and vibraphones,-36.98583984375,-38.67578125
49,cymbals and ocarinas,-32.328125,-33.34912109375
50,clarinets and ocarinas,-28.09228515625,-34.163848876953125
51,cellos and ocarinas,-32.4833984375,-33.3291015625
52,didgeridoos and vibraphones,-44.146484375,-41.50390625
53,lutes and marimbas,-31.01171875,-34.92578125
54,kalimbas and lutes,-39.96484375,-32.97802734375
